"A","Agilent Technologies, Inc.","51.71","17245943681.98","n/a","1999","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/a",
"AA","Alcoa Inc.","14.6","17174309638.8","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa",
"AAC","AAC Holdings, Inc.","19.4","401062679.6","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/aac",
"AAIT","iShares MSCI All Country Asia Information Technology Index Fun","31.41","6282000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aait",
"AAL","American Airlines Group, Inc.","32.97","23741790173.22","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AAME","Atlantic American Corporation","3.94","81581549.38","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"AAN","Aaron&#39;s,  Inc.","24.4","1764399380","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"AAOI","Applied Optoelectronics, Inc.","15.11","223705438.75","n/a","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"AAON","AAON, Inc.","17.95","987468882.3","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"AAP","Advance Auto Parts Inc","132.43","9664139108.36","n/a","n/a","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/aap",
"AAPL","Apple Inc.","96.26","576392077420","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AAT","American Assets Trust, Inc.","35.13","1497076578.03","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aat",
"AAV","Advantage Oil & Gas Ltd","4.42","750469439.72","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/aav",
"AAVL","Avalanche Biotechnologies, Inc.","30.41","676843823.98","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aavl",
"AAWW","Atlas Air Worldwide Holdings","32.935","831883625.51","n/a","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/aaww",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","60.1","2620360000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj",
"AA^B","Alcoa Inc.","46.9","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aa^b",
"AB","Allianceberstein Holding L.P.","23.63","2287658746.01","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ab",
"ABAC","Aoxin Tianli Group, Inc.","2.1","58302300","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ABAX","ABAXIS, Inc.","48.1","1083377367.8","n/a","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABB","ABB Ltd","20.37","46665989047.23","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ABBV","AbbVie Inc.","52.9","84200883659.6","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abbv",
"ABC","AmerisourceBergen Corporation (Holding Co)","75.02","16833111007.9","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/abc",
"ABCB","Ameris Bancorp","23.84","637444361.92","n/a","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"ABCD","Cambium Learning Group, Inc.","1.48","66466612.04","n/a","n/a","Consumer Services","Publishing","http://www.nasdaq.com/symbol/abcd",
"ABCO","The Advisory Board Company","50.28","1824941008.2","n/a","2001","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/abco",
"ABDC","Alcentra Capital Corp.","12.49","168824407.34","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ABEV","Ambev S.A.","6.32","99036406498.88","n/a","2013","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/abev",
"ABG","Asbury Automotive Group Inc","63.96","1940840296.2","n/a","2002","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/abg",
"ABGB","Abengoa, S.A.","18.93","3179368159.92","n/a","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
